------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.20458e-11,               0.0273
         1.21899e-11,               0.0274
         1.23356e-11,               0.0275
         1.24831e-11,               0.0276
         1.26322e-11,               0.0277
         1.27829e-11,               0.0278
         1.29354e-11,               0.0279
         1.30896e-11,                0.028
         1.32456e-11,               0.0281
         1.34033e-11,               0.0282
         1.35629e-11,               0.0283
         1.37242e-11,               0.0284
         1.38874e-11,               0.0285
         1.40524e-11,               0.0286
         1.42193e-11,               0.0287
         1.43881e-11,               0.0288
         1.45588e-11,               0.0289
         1.47315e-11,                0.029
         1.49061e-11,               0.0291
         1.50827e-11,               0.0292
         1.52613e-11,               0.0293
         1.54419e-11,               0.0294
         1.56246e-11,               0.0295
         1.58094e-11,               0.0296
         1.59963e-11,               0.0297
         1.61853e-11,               0.0298
         1.63765e-11,               0.0299
         1.65698e-11,                 0.03
         1.67654e-11,               0.0301
         1.69631e-11,               0.0302
         1.71632e-11,               0.0303
         1.73655e-11,               0.0304
         1.75701e-11,               0.0305
         1.77771e-11,               0.0306
         1.79864e-11,               0.0307
         1.81981e-11,               0.0308
         1.84122e-11,               0.0309
         1.86288e-11,                0.031
         1.88479e-11,               0.0311
         1.90694e-11,               0.0312
         1.92935e-11,               0.0313
         1.95202e-11,               0.0314
         1.97494e-11,               0.0315
         1.99813e-11,               0.0316
         2.02158e-11,               0.0317
          2.0453e-11,               0.0318
          2.0693e-11,               0.0319
         2.09357e-11,                0.032
         2.11812e-11,               0.0321
         2.14294e-11,               0.0322
         2.16806e-11,               0.0323
         2.19346e-11,               0.0324
         2.21915e-11,               0.0325
         2.24514e-11,               0.0326
         2.27143e-11,               0.0327
         2.29802e-11,               0.0328
         2.32492e-11,               0.0329
         2.35212e-11,                0.033
         2.37964e-11,               0.0331
         2.40748e-11,               0.0332
         2.43564e-11,               0.0333
         2.46412e-11,               0.0334
         2.49293e-11,               0.0335
         2.52207e-11,               0.0336
         2.55155e-11,               0.0337
         2.58136e-11,               0.0338
         2.61153e-11,               0.0339
         2.64204e-11,                0.034
          2.6729e-11,               0.0341
         2.70412e-11,               0.0342
         2.73571e-11,               0.0343
         2.76765e-11,               0.0344
         2.79997e-11,               0.0345
         2.83267e-11,               0.0346
         2.86574e-11,               0.0347
         2.89919e-11,               0.0348
         2.93303e-11,               0.0349
         2.96727e-11,                0.035
          3.0019e-11,               0.0351
         3.03694e-11,               0.0352
         3.07238e-11,               0.0353
         3.10824e-11,               0.0354
         3.14451e-11,               0.0355
          3.1812e-11,               0.0356
         3.21833e-11,               0.0357
         3.25588e-11,               0.0358
         3.29387e-11,               0.0359
         3.33231e-11,                0.036
         3.37119e-11,               0.0361
         3.41053e-11,               0.0362
         3.45033e-11,               0.0363
         3.49059e-11,               0.0364
         3.53133e-11,               0.0365
         3.57254e-11,               0.0366
         3.61423e-11,               0.0367
         3.65641e-11,               0.0368
         3.69909e-11,               0.0369
         3.74226e-11,                0.037
         3.78594e-11,               0.0371
         3.83014e-11,               0.0372
         3.87485e-11,               0.0373
         3.92009e-11,               0.0374
         3.96587e-11,               0.0375
         4.01218e-11,               0.0376
         4.05903e-11,               0.0377
         4.10644e-11,               0.0378
         4.15441e-11,               0.0379
         4.20294e-11,                0.038
         4.25204e-11,               0.0381
         4.30173e-11,               0.0382
           4.352e-11,               0.0383
         4.40286e-11,               0.0384
         4.45433e-11,               0.0385
         4.50641e-11,               0.0386
          4.5591e-11,               0.0387
         4.61242e-11,               0.0388
         4.66637e-11,               0.0389
         4.72096e-11,                0.039
          4.7762e-11,               0.0391
          4.8321e-11,               0.0392
         4.88866e-11,               0.0393
         4.94589e-11,               0.0394
          5.0038e-11,               0.0395
         5.06241e-11,               0.0396
         5.12171e-11,               0.0397
         5.18172e-11,               0.0398
         5.24244e-11,               0.0399
         5.30389e-11,                 0.04
         5.36608e-11,               0.0401
         5.42901e-11,               0.0402
         5.49269e-11,               0.0403
         5.55714e-11,               0.0404
         5.62236e-11,               0.0405
         5.68836e-11,               0.0406
         5.75515e-11,               0.0407
         5.82274e-11,               0.0408
         5.89115e-11,               0.0409
         5.96038e-11,                0.041
         6.03044e-11,               0.0411
         6.10135e-11,               0.0412
         6.17311e-11,               0.0413
         6.24574e-11,               0.0414
         6.31924e-11,               0.0415
         6.39363e-11,               0.0416
         6.46892e-11,               0.0417
         6.54512e-11,               0.0418
         6.62225e-11,               0.0419
         6.70031e-11,                0.042
         6.77931e-11,               0.0421
         6.85928e-11,               0.0422
         6.94022e-11,               0.0423
         7.02214e-11,               0.0424
         7.10505e-11,               0.0425
         7.18898e-11,               0.0426
         7.27393e-11,               0.0427
         7.35991e-11,               0.0428
         7.44694e-11,               0.0429
         7.53504e-11,                0.043
         7.62421e-11,               0.0431
         7.71448e-11,               0.0432
         7.80585e-11,               0.0433
         7.89833e-11,               0.0434
         7.99196e-11,               0.0435
         8.08673e-11,               0.0436
         8.18266e-11,               0.0437
         8.27978e-11,               0.0438
         8.37809e-11,               0.0439
         8.47761e-11,                0.044
         8.57836e-11,               0.0441
         8.68035e-11,               0.0442
          8.7836e-11,               0.0443
         8.88813e-11,               0.0444
         8.99395e-11,               0.0445
         9.10107e-11,               0.0446
         9.20953e-11,               0.0447
         9.31933e-11,               0.0448
          9.4305e-11,               0.0449
         9.54304e-11,                0.045
         9.65699e-11,               0.0451
         9.77235e-11,               0.0452
         9.88915e-11,               0.0453
         1.00074e-10,               0.0454
         1.01271e-10,               0.0455
         1.02484e-10,               0.0456
         1.03711e-10,               0.0457
         1.04954e-10,               0.0458
         1.06212e-10,               0.0459
         1.07486e-10,                0.046
         1.08777e-10,               0.0461
         1.10083e-10,               0.0462
         1.11406e-10,               0.0463
         1.12745e-10,               0.0464
         1.14102e-10,               0.0465
         1.15475e-10,               0.0466
         1.16866e-10,               0.0467
         1.18274e-10,               0.0468
           1.197e-10,               0.0469
         1.21145e-10,                0.047
         1.22607e-10,               0.0471
         1.24088e-10,               0.0472
         1.25588e-10,               0.0473
         1.27107e-10,               0.0474
         1.28645e-10,               0.0475
         1.30203e-10,               0.0476
         1.31781e-10,               0.0477
         1.33379e-10,               0.0478
         1.34997e-10,               0.0479
         1.36636e-10,                0.048
         1.38296e-10,               0.0481
         1.39978e-10,               0.0482
         1.41681e-10,               0.0483
         1.43405e-10,               0.0484
         1.45152e-10,               0.0485
         1.46922e-10,               0.0486
         1.48714e-10,               0.0487
          1.5053e-10,               0.0488
         1.52369e-10,               0.0489
         1.54231e-10,                0.049
         1.56118e-10,               0.0491
         1.58029e-10,               0.0492
         1.59965e-10,               0.0493
         1.61926e-10,               0.0494
         1.63913e-10,               0.0495
         1.65926e-10,               0.0496
         1.67965e-10,               0.0497
          1.7003e-10,               0.0498
         1.72123e-10,               0.0499
         1.74242e-10,                 0.05
          1.7639e-10,               0.0501
         1.78566e-10,               0.0502
          1.8077e-10,               0.0503
         1.83003e-10,               0.0504
         1.85266e-10,               0.0505
         1.87558e-10,               0.0506
         1.89881e-10,               0.0507
         1.92235e-10,               0.0508
         1.94619e-10,               0.0509
         1.97035e-10,                0.051
         1.99484e-10,               0.0511
         2.01964e-10,               0.0512
         2.04478e-10,               0.0513
         2.07025e-10,               0.0514
         2.09606e-10,               0.0515
         2.12221e-10,               0.0516
         2.14872e-10,               0.0517
         2.17558e-10,               0.0518
         2.20279e-10,               0.0519
         2.23038e-10,                0.052
         2.25833e-10,               0.0521
         2.28666e-10,               0.0522
         2.31537e-10,               0.0523
         2.34447e-10,               0.0524
         2.37396e-10,               0.0525
         2.40385e-10,               0.0526
         2.43414e-10,               0.0527
         2.46485e-10,               0.0528
         2.49597e-10,               0.0529
         2.52751e-10,                0.053
         2.55949e-10,               0.0531
          2.5919e-10,               0.0532
         2.62475e-10,               0.0533
         2.65805e-10,               0.0534
          2.6918e-10,               0.0535
         2.72602e-10,               0.0536
         2.76071e-10,               0.0537
         2.79588e-10,               0.0538
         2.83153e-10,               0.0539
